"","Description","County Name","State","% Solar Panel Installed","Median KW Potential","% w/ Health Insurance","Property Crime Rate","Net Migration Rate","% w/ Bachelor's Degree","Population Density","% Children w/ Single Parent","% Population Age 45-64","% Female","% White","Entrepeneurship Score","Income per Capita","Belief in Science Score","Risk Taking Score","Religiosity Score","Income Mobility Score","Employment Rate","In Texas","PC1","PC2","PC3","PC4","PC5","PC6"
"1","Alameda County, CA","Alameda County","CA",3.79442882122108,12.25,91.64253998,35.9095518,-0.30917,24.63544083,2109.758789,0.269797722,25.2406318564448,50.7429716112148,49.2777304767643,12.07630362,39042,63.8888889,62.63535583,62,-0.298656784,95.8,FALSE,1.64540612726762,-1.98375746884682,-0.507003223173676,0.804689092866025,0.171632491236677,-1.13633926576539
"2","Angelina County, TX","Angelina County","TX",0.103755965968043,12,81.07124329,33.93193207,0.12458,10.3309679,109.5953751,0.399991262,24.5793691979473,51.1583924349882,80.9848353802687,11.66868198,21486,61.50992652,68.00195735,77.43531548,-0.01597804,94,TRUE,-0.785501501738679,-0.298025036909916,0.154677740378782,-0.0492161723374881,-1.00911245124225,0.132387220869315
"3","Aransas County, TX","Aransas County","TX",0.136008160489629,13,82.19470978,41.13503723,-0.13509,12.69281101,94.76602936,0.279212254,27.8945129732029,50.5189281156955,92.9008932369205,12.76595745,29426,69.71402745,71.4743082,70.39532998,0.216063246,94.3,TRUE,-0.448233103608278,0.448010143415482,0.588376464593765,0.103184396987658,-0.646508225369848,-0.925231681520101
"4","Archer County, TX","Archer County","TX",0.130378096479791,16,87.48415375,9.556574924,-9.5060401,15.53160191,9.80274868,0.140368852,29.4867298024085,51.0581082661055,95.1479013211739,12.5,29086,68.02181067,70.37275228,72.68155929,1.271775519,95.6,TRUE,-0.140946155678953,3.38648993838183,-0.999611268119852,2.55963617628582,-2.25451667525624,-2.01764316596821
"5","Atascosa County, TX","Atascosa County","TX",0.0529474055771267,13.5,81.60430145,27.25511033,-1.6866701,9.170500755,38.00039291,0.38133632,23.2811369812132,50.2003792543937,95.3121029069654,12.98174442,23416,75,84.84848485,80,0.238681495,94.7,TRUE,-1.02344487489966,0.932595838195862,0.317552850416095,0.450664712007363,-0.558286112038781,0.676571642723187
"6","Bastrop County, TX","Bastrop County","TX",0,12,80.76675415,20.6756387,-0.61741,12.14587784,85.2406311,0.270940128,26.318992820351,49.1541088556519,87.5195834225623,15.1734104,25242,72.61805402,65.90729427,76.19080628,0.178573617,96.3,TRUE,-0.317525500567454,1.12539430713013,0.716771282025306,-0.526475829791365,-0.262269727335912,0.20328202475608
"7","Bell County, TX","Bell County","TX",0.201660229188451,14.75,86.99559784,30.39785831,0.43729,14.27876377,305.9776001,0.327861209,20.3257431307932,50.3212793863178,65.7413122306599,12.01193059,24213,67.29010421,72.21703445,68.18339538,-0.222832936,95.6,TRUE,-0.307192122582746,-1.30270726049391,0.123938089651306,0.927664226794574,0.462631461988682,0.290839776735895
"8","Bexar County, TX","Bexar County","TX",0.356467252209214,14,83.1144104,47.74636304,0.88884,16.96453094,1442.951416,0.378036038,22.4224552969373,50.5982868442777,84.2561767738728,12.08061164,25317,70.82186783,75.11556222,61.66666666,-0.477896227,96.3,TRUE,-0.347477928027767,-1.85924022629979,1.01385075849806,0.747223559968826,0.0301732281298173,-0.0799765912805343
"9","Bowie County, TX","Bowie County","TX",0.137253866863749,13.25,83.36530304,39.30959218,-1.1678,11.95737553,105.1608734,0.414069176,24.5503780363558,49.9458416000858,69.7442222103062,9.002557545,23705,70.21072297,67.52880415,67.56947472,-0.153682368,95.3,TRUE,-0.486986099059907,-0.995291229688336,-0.00138263125410422,-0.0867281796341701,-0.7999627601226,-1.20456740218678
"10","Brazoria County, TX","Brazoria County","TX",0.116955333694832,13.25,84.90235138,17.46357919,0.50941,18.00372505,239.7210846,0.25168517,24.6964709402988,49.4867259474595,74.9016736848855,11.17494973,31180,87.5,68.13636364,79.94899748,0.233292873,94.8,TRUE,0.52530553014761,0.619106374488881,1.21522752168044,-0.919405598696723,0.249887979592855,-0.238723884338954
"11","Brazos County, TX","Brazos County","TX",0.236334115100126,14.5,85.90898895,26.89069935,5.3880099,19.97259331,344.1889648,0.331275768,17.3896540741936,49.642469165965,79.6292499051093,11.14561767,24157,69.40181658,73.69170471,74.62586132,-0.416379107,96.6,TRUE,-0.456569280080217,-1.52441081814649,0.670607398179971,-0.208977332525773,1.79801701589354,1.52072229522736
"12","Butte County, CA","Butte County","CA",7.24490695828556,11.5,89.29158783,29.61881024,0.19094,16.67783165,135.4004669,0.327767334,22.5438668528099,50.5109815407918,85.6541932422691,10.14946962,25077,66.36828643,66.50601324,63.33333333,-0.121951454,93.5,FALSE,0.347860953364717,-0.912622741854633,-1.69378075583259,-0.126690449903424,-0.390066333308509,-0.243192590605939
"13","Caldwell County, TX","Caldwell County","TX",0,10.25,79.10487366,17.76203397,3.3273201,11.3239851,71.2904892,0.311185058,24.4388970318798,49.5488274093074,88.8489373396849,14.83146067,21485,71.1704657,68.74702841,74.79411371,-0.240638449,95.7,TRUE,-0.69898817980726,0.497832765304852,0.954358214178029,-1.37070697243274,0.431069714513067,1.24033389514687
"14","Callahan County, TX","Callahan County","TX",0.0915192190359976,11.25,77.57051086,13.72376339,-1.53971,10.09367466,15.0316,0.271217712,27.0673456214588,50.4052212579789,94.7070214444524,13.48314607,22557,71.10606445,67.70688548,78.47278435,0.716682185,95.7,TRUE,-0.746233774736441,2.2332716603728,0.241849749056306,-0.398270995389513,-1.09213438094777,-0.248838626754554
"15","Cameron County, TX","Cameron County","TX",0,13.5,69.49163818,33.16681332,-1.17224,11.4800539,465.8530273,0.390252768,21.1051060702377,51.2490458759391,97.0727591968107,12.75736002,15457,62.61398176,71.61371469,74.7368421,0.287318823,92.8,TRUE,-1.50318681739709,-0.290082124808197,0.950393071088262,1.02011420513539,-1.2370268461787,0.619728314236123
"16","Chambers County, TX","Chambers County","TX",0,13.25,83.50496674,26.22732124,-1.50335,13.52850151,61.20760727,0.172459388,23.7242512033214,49.5334990989347,87.585829322262,7.826086957,29729,60.86956523,68.8890136,70.63039716,0.219897856,93.9,TRUE,-0.859792904456494,0.0770526813936733,-0.434502588791186,0.340047102413977,-0.640000377338543,-1.40851227752473
"17","Clay County, TX","Clay County","TX",0,10.75,83.86626434,13.25703386,0.89066,11.76470566,9.687496185,0.261338123,28.6505586858944,50.0525260242575,94.9766020437399,9.90990991,26696,68.88361119,65.17724576,75.6247929,0.516195218,95.5,TRUE,-0.626030874102355,2.01284800538876,-0.133733781799663,-1.25116662803478,-0.58682961965686,-1.07102350914366
"18","Collin County, TX","Collin County","TX",0.481117041459034,13.25,88.1706543,17.43951143,0.48461,32.25214767,994.8637085,0.198202977,26.2346699138906,50.7546896291786,69.2616431339576,20.44240222,39933,70.83333333,73.58018281,88,0.220432015,96.5,TRUE,1.5158629343092,1.02044870134757,2.05445190416707,1.18675763405877,1.15008465061739,1.58270102218666
"19","Comal County, TX","Comal County","TX",0.312978841326248,13.75,86.14694977,22.63692217,1.68157,22.46003914,206.992569,0.256745879,27.7877715112446,50.4951699325903,92.9491898674212,14.87323944,33872,71.45131583,67.95521859,78.15059001,0.184587845,96.4,TRUE,0.464166275559328,1.1476894769157,1.06532310607321,0.0992297235645176,0.425989630132086,0.288978302750335
"20","Contra Costa County, CA","Contra Costa County","CA",5.91078847706374,13.75,91.50805664,29.01154449,0.10001,25.18893051,1496.011719,0.261325034,27.0061533073377,51.0902225004031,65.1292645332658,12.66989056,40792,74.88896963,56.56620835,62.22222222,0.441544442,95.6,FALSE,2.05491302758586,-0.385540408534486,-0.322727059039826,0.592119566722583,0.225801953643676,-1.69339452083539
"21","Cooke County, TX","Cooke County","TX",0,10.5,83.84120178,46.77857319,-0.02996,14.94010735,44.07842636,0.270430746,25.7241195433502,50.127251133141,91.962576047701,10.16731017,28045,68.23091197,64.68561284,72.60511825,0.812808797,96,TRUE,-0.585798459285366,0.459087934977106,0.446658841774673,-0.910232463302625,-0.978907746701044,-2.18870471196954
"22","Coryell County, TX","Coryell County","TX",0.161645848640705,15,89.79774475,17.1909338,-1.5855201,10.67505646,72.4932251,0.267987322,19.7982910034101,50.1968374346618,73.4842200892681,11.00917431,20555,64.1805744,73.41772087,62.81608991,0.105393862,95.5,TRUE,-0.737491795717259,-0.317897972425406,-0.939515410263262,1.4707998330526,0.193290156787244,-0.158072950426562
"23","Dallas County, TX","Dallas County","TX",0.231294802867383,10.5,76.81274414,32.48250309,-1.04543,18.5340004,2806.126465,0.390732486,23.2984356763533,50.6671558814289,66.5575545737533,12.49455357,28552,66.97143852,72.32428605,59,-0.242495362,96,TRUE,-0.0910806910097032,-1.55553886937624,1.4426085505169,0.858337498318973,-0.392298900157695,-0.794146560887715
"24","Denton County, TX","Denton County","TX",0.351024897646028,9.5,86.66144562,17.45995375,2.93527,28.32100868,806.647583,0.229634806,25.8228350317344,50.8318802714586,75.6156116892676,17.02065755,36238,71.7948718,83.41307815,65,0.291950301,96.6,TRUE,0.699460358100481,0.579864200582933,1.97939920683822,0.675446163252901,1.66186861841389,0.0295132193371651
"25","Ector County, TX","Ector County","TX",0.100630480767256,14,76.73416138,38.85755914,1.3575,10.29239464,161.4438324,0.347972899,19.9304548708662,48.9468966388526,90.1114767511115,8.054169636,27295,65.47619047,83.86363636,43.33333333,0.800724308,93.6,TRUE,-1.7403798650056,-0.80560178878736,0.0156130933468391,1.50759041329626,1.193211594379,-2.84668700379611
"26","El Dorado County, CA","El Dorado County","CA",9.67352586181518,15,92.35184479,17.15757301,-0.68273,21.26050186,106.2503052,0.231940852,29.7060302940734,50.1366396498706,88.6399817468096,14.44246738,37089,69.88630519,67.03915564,73.12122199,0.509206853,94.9,FALSE,1.4331516186821,1.55275500606352,-1.52571876405257,0.90054662795564,0.389363274526477,-0.344849353768484
"27","El Paso County, TX","El Paso County","TX",1.30108173076923,12.25,76.24188995,20.29241555,-0.15895,14.14151382,813.4329834,0.363762418,21.8253939883561,50.5733772779593,91.8408127372688,12.2757746,19145,68.02804869,68.01167133,76.76840376,-0.043083456,95.1,TRUE,-0.5443459432013,-0.268375091955931,0.637437158276773,0.152060652636863,-0.668838459556535,1.03851597789559
"28","Erath County, TX","Erath County","TX",0,13.5,79.80767059,17.79438697,3.5302501,17.53603172,36.27739716,0.28920066,21.0150358330601,50.9977048105298,93.8990116633098,15.01340483,22781,69.22835417,69.8535992,78.79232361,0.619278128,95.9,TRUE,-0.742587811227579,1.14257363307742,0.931651738851035,0.0113670518545763,0.762495746740847,1.15244415776889
